product_name,new_price,product_rating,Processor_OR_Generation,RAM(GB),Operating_System,SSD(GB),Display(cm),rating_without_dis
ASUS TUF Dash F15 Intel Core i7 12th Gen 12650H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA...,Moderate,Excellent,Intel Core i7 Processor (12th Gen),16.0,64 bit Windows 11 Operating System,1000.0,39.62,4.5
HP G9 SERIES AMD Athlon Dual Core 3050U - (4 GB/256 GB SSD/Windows 11 Home) 255 Thin and Light Laptop,very low,Meduim,AMD Athlon Dual Core Processor,4.0,Windows 11 Operating System,256.0,39.62,2.8
DELL Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3420 Thin and Light Lapto...,low,Good,Intel Core i5 Processor (12th Gen),8.0,Windows 11 Operating System,512.0,35.56,3.2
"ASUS Vivobook Pro 15 OLED (2023) For Creator, Intel H-Series Intel Core i5 13th Gen 13500H - (16 GB/51...",Moderate,Excellent,Intel Core i5 Processor (13th Gen),16.0,Windows 11 Operating System,512.0,39.62,4.4
HP Pavilion Intel Core i5 12th Gen 1240P - (8 GB/512 GB SSD/Windows 11 Home) 15-EG2009TU Thin and Ligh...,low,Excellent,Intel Core i5 Processor (12th Gen),8.0,64 bit Windows 11 Operating System,512.0,39.62,4.2
MSI Vector GP78 Intel Core i9 13th Gen 13980HX - (32 GB/2 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA...,Very Expensive,Excellent,Intel Core i9 Processor (13th Gen),32.0,Windows 11 Operating System,2.0,43.18,5.0
HP Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15S-FQ2738TU Laptop,very low,Good,Intel Core i3 Processor (11th Gen),8.0,Windows 11 Operating System,512.0,39.62,3.9
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,Moderate,Excellent,AMD Ryzen 7 Octa Core Processor,16.0,64 bit Windows 11 Operating System,1000.0,40.64,4.4
HP Spectre x360 (2023) OLED Eyesafe Evo Intel Core i7 13th Gen 1355U - (16 GB/1 TB SSD/Windows 11 Home...,Expensive,Excellent,Intel Core i7 Processor (13th Gen),16.0,64 bit Windows 11 Operating System,1000.0,34.29,4.7
HP Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15S-FR2515TU Laptop,very low,Excellent,Intel Core i3 Processor (11th Gen),8.0,Windows 11 Operating System,512.0,39.62,4.3
MSI GF63 Intel Core i5 11th Gen 11260H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,low,Excellent,Intel Core i5 Processor (11th Gen),8.0,Windows 11 Operating System,512.0,39.62,4.3
Lenovo IdeaPad 3 Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 82H803HPIN Laptop,low,Meduim,Intel Core i5 Processor (11th Gen),16.0,64 bit Windows 11 Operating System,512.0,39.62,2.9
Lenovo Ideapad Slim 3i Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows 11 Home) Ideapad Slim ...,low,Good,Intel Core i5 Processor (11th Gen),8.0,64 bit Windows 10 Operating System,512.0,39.62,3.6
MSI Katana 17 Intel Core i7 12th Gen 12650H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,Expensive,Excellent,Intel Core i7 Processor (12th Gen),16.0,Windows 11 Operating System,1000.0,43.94,4.8
